yr_built,bridge_condition,avg_daily_traffic,lat,long,county,carries,total_improve_cost_thousands,inspection_mo,inspection_yr,owner,responsibility,vehicles
1995,Good,35421,39.1474944444444,-76.69777500000001,Anne Arundel County,MD 100 EBR,NA,02,15,State Highway Agency,State Highway Agency,35421 vehicles
1995,Good,35421,39.1476722222222,-76.69670833333333,Anne Arundel County,MD 100 WBR,NA,02,15,State Highway Agency,State Highway Agency,35421 vehicles
1989,Fair,14962,39.0871361111111,-76.55161111111111,Anne Arundel County,MD 648H,NA,06,15,State Highway Agency,State Highway Agency,14962 vehicles
1995,Good,68782,39.1487388888889,-76.68776666666666,Anne Arundel County,MD 100 EBR,NA,07,16,State Highway Agency,State Highway Agency,68782 vehicles
1995,Good,68782,39.1490777777778,-76.6873138888889,Anne Arundel County,MD 100 WBR,NA,07,16,State Highway Agency,State Highway Agency,68782 vehicles
1995,Good,1211,39.1533555555556,-76.67655,Anne Arundel County,MD 100Q,NA,01,17,State Highway Agency,State Highway Agency,1211 vehicles
1995,Fair,4131,39.1553888888889,-76.66861666666667,Anne Arundel County,MD 100R (WB&A RD),NA,08,16,State Highway Agency,State Highway Agency,4131 vehicles
1996,Fair,69652,39.1568944444444,-76.65305833333333,Anne Arundel County,MD 100 & RPS 1 & 6,NA,04,15,State Highway Agency,State Highway Agency,69652 vehicles
1996,Good,34826,39.1540055555556,-76.64898333333333,Anne Arundel County,MD 100 EBR,NA,11,16,State Highway Agency,State Highway Agency,34826 vehicles
1996,Good,34826,39.15405,-76.64865833333333,Anne Arundel County,MD 100 WBR,NA,11,16,State Highway Agency,State Highway Agency,34826 vehicles
1996,Good,36794,39.15166855,-76.64499664,Anne Arundel County,MD 100 EBR,NA,01,17,State Highway Agency,State Highway Agency,36794 vehicles
